################################################################################
# $Header$
#
# This file was automatically generated (badly!) from the 'gismu' file
# at ftp://xiron.pc.helsinki.fi/pub/lojban/wordlists.  Uncommenting
# the entries and filling them in is work in progress.  Note that
# quite a lot of the gismu have come out with the wrong numbers of
# places, this has to be manually fixed.
#
# x1 utters verbally/says/phonates/speaks [vocally makes sound] x2                                
bacru1:A;utter
#sirxo1:DSAP;
#sirxo2:DSAP;
#
# x1 seeks/searches/looks for property x2 among set x3 (complete specification of set)            
sisku1:A;search
sisku2:D;sought property
sisku3:P;sought amongst
#
# x1 [agent] ceases/stops/halts/ends activity/process/state x2 [not necessarily completing it]    
#sisti1:DSAP;
#sisti2:DSAP;
#
# x1 cites/quotes/refers to/makes reference to source x2 for information/statement x3 (du'u)      
#sitna1:DSAP;
#sitna2:DSAP;
#sitna3:DSAP;
#
# x1 is private/personal/privy/[secret/confidential/confined] to x2; x1 is not-public/hidden      
#sivni1:DSAP;
#
# x1 is a skirt/kilt/dress of material x2; x1 is skirted [garment open at the bottom; not legged] 
#skaci1:DSAP;
#
# x1 is a computer for purpose x2                                                                 
#skami1:DSAP;
#skami2:DSAP;
#
# x1 is a pelt/skin/hide/leather from x2                                                          
#skapi1:DSAP;
#skapi2:DSAP;
#
# x1 is/appears to be of color/hue x2 as perceived/seen by x3 under conditions x4                 
#skari1:DSAP;
#skari2:DSAP;
#skari3:DSAP;
#skari4:DSAP;
#
# x1 tells about/describes x2 (object/event/state) to audience x3 with description x4 (property)  
skicu1:A;describe
skicu2:P;described
skicu3:D;audience* for describing
skicu4:D;description
#
# x1 is a ski/skid/skate/runner for surface (of material) x2 supporting skier/skater/sled/cargo x3
#skiji1:DSAP;
#skiji2:DSAP;
#
# x1 is a cinema/movie/film about x2 [plot/theme/subject/activity], filmmaker x3, for audience x4 
#skina1:DSAP;
#skina2:DSAP;
#skina3:DSAP;
#skina4:DSAP;
#
# x1 is cord/cable/rope/line/twine/cordage/woven strands of material x2                           
#skori1:DSAP;
#skori2:DSAP;
#
# x1 reflects Gaelic/Scottish culture/nationality/language in aspect x2                           
#skoto1:DSAP;
#skoto2:DSAP;
#
# x1 is a groove/trench/furrow [shape/form] in object/surface x2                                  
#skuro1:DSAP;
#skuro2:DSAP;
#
# x1 is old/familiar/well-known to observer x2 in feature x3 (ka) by standard x4                  
slabu1:P;familiar
slabu2:D;observer* of familiarity
slabu2t:observer
slabu3:D;familiar feature
slabu3t:feature
slabu4:S;standard of familiarity
slabu4t:by standard
#
# x1 is a syllable in language x2                                                                 
#slaka1:DSAP;
#slaka2:DSAP;
#
# x1 is a quantity of/contains/is made of acid of composition x2; (adjective:) x1 is acidic       
#slami1:DSAP;
#
# x1 is a cylinder [shape/form] of material x2                                                    
#slanu1:DSAP;
#slanu2:DSAP;
#
# x1 is sour/tart to observer x2                                                                  
#slari1:DSAP;
#slari2:DSAP;
#
# x1 is a quantity of/is made of/contains plastic/polymer of type/component unit(s) x2            
#slasi1:DSAP;
#slasi2:DSAP;
#
# x1 is solid, of composition/material including x2, under conditions x3                          
#sligu1:DSAP;
#sligu2:DSAP;
#sligu3:DSAP;
#
# x1 oscillates at rate/frequency x2 through set/sequence-of-states x3 (complete specification)   
#slilu1:DSAP;
#slilu2:DSAP;
#slilu3:DSAP;
#
# x1 is a quantity of/contains/is made of sulfur/brimstone (S); [metaphor: foul odor, volcanic]   
#sliri1:DSAP;
#sliri2:DSAP;
#sliri3:DSAP;
#
# x1 reflects Slavic language/culture/ethos in aspect x2                                          
#slovo1:DSAP;
#slovo2:DSAP;
#
# x1 is a/the muscle [body-part] controlling x2, of body x3; [metaphor: tools of physical power]  
sluji1:D;muscle
sluji2:P;controlled by muscle(s)
sluji2t:thing controlled
sluji3:D;body* with muscle(s)
sluji3t:body
#
# x1 is a quantity of/contains onions/scallions of type/cultivar x2                               
#sluni1:DSAP;
#sluni2:DSAP;
#
# x1 is a mouse of species/breed x2                                                               
#smacu1:DSAP;
#smacu2:DSAP;
#
# x1 guesses/conjectures/surmises x2 (du'u) is true about subject x3; [epistemology]              
#smadi1:DSAP;
#smadi2:DSAP;
#
# x1 (source) is quiet/silent/[still] at observation point x2 by standard x3                      
smaji1:P;silent
smaji2:D;observation point* for silence
smaji2t:D;at point(s)
smaji3:S;standard of silence
smaji3t:by standard
#
# x1 is a monkey/ape/simian/baboon/chimpanzee of species/breed x2                                 
#smani1:DSAP;
#smani2:DSAP;
#
# x1 is a sock/stocking [flexible foot and lower leg garment] of material x2                      
smoka1:D;sock
smoka2:S;sock material
#
# x1 is a spoon/scoop (tool) for use x2, made of material x3                                      
#smuci1:DSAP;
#smuci2:DSAP;
#smuci3:DSAP;
#
# x1 is a meaning/interpretation of x2 recognized/seen/accepted by x3                             
smuni1:D;meaning
smuni2:P;interpreted
smuni3:A;accept* meaning
#
# x1 [agent] succeeds in/achieves/completes/accomplishes x2 as a result of effort/attempt/try x3  
#snada1:DSAP;
#snada2:DSAP;
#snada3:DSAP;
#
# x1 is to the south/southern side of x2 according to frame of reference x3                       
snanu1:P;to the south
snanu2:P;to the north
snanu3:D;southness reference frame
snanu3t:reference frame
#
# x1 is x2 seconds in duration (default is 1 second) by standard x3                               
#snidu1:DSAP;
#snidu2:DSAP;
#snidu3:DSAP;
#
# x1 is made of/contains/is a quantity/expanse of snow                                            
#snime1:DSAP;
#snime2:DSAP;
#snime3:DSAP;
#
# x1 adheres/sticks to x2; (adjective:) x1 is sticky/gummy/adhesive                               
#snipa1:DSAP;
#
# x1 is a sandwich/layering [not restricted to food] of x2 sandwiched between x3                  
#snuji1:DSAP;
#snuji2:DSAP;
#snuji3:DSAP;
#
# x1 is secure/safe from threat x2 (event)                                                        
snura1:P;safe
snura2:D;threat
#
# x1 (event/state) is an accident/unintentional on the part of x2; x1 is an accident              
#snuti1:DSAP;
#
# x1 is a quantity of soya [grain/bean] of species/strain x2                                      
#sobde1:DSAP;
#sobde2:DSAP;
#
# x1 is a quantity of/contains/is made of alkali metal of type x2 [default sodium]                
#sodna1:DSAP;
#sodna2:DSAP;
#
# x1 is made of/contains/is a quantity of a carbonated beverage/soda of flavor/brand x2           
#sodva1:DSAP;
#sodva2:DSAP;
#
# x1 reflects Russian empire/USSR/ex-USSR (Soviet]/CIS culture/nationality in aspect x2           
#softo1:DSAP;
#softo2:DSAP;
#
# x1 is a quantity of/contains/is made of gold (Au); [metaphor: valuable, heavy, non-reactive]    
#solji1:DSAP;
#solji2:DSAP;
#
# x1 is the sun of home planet x2 (default Earth) of race x3; (adjective:) x1 is solar            
solri1:D;sun
solri2:D;planet* with sun
#
# x1 sows/plants x2 [crop/plants] at/in x3                                                        
#sombo1:DSAP;
#sombo2:DSAP;
#sombo3:DSAP;
#
# x1 is a soldier/warrior/fighter of army x2                                                      
#sonci1:DSAP;
#sonci2:DSAP;
#
# x1 is a store/deposit/supply/reserve of materials/energy x2 in containment x3                   
#sorcu1:DSAP;
#sorcu2:DSAP;
#sorcu3:DSAP;
#
# x1 is a quantity of sorghum of species/strain x2                                                
#sorgu1:DSAP;
#sorgu2:DSAP;
#
# x1 is an egg/ovum/sperm/pollen/gamete of/from organism [mother/father] x2                       
#sovda1:DSAP;
#sovda2:DSAP;
#
# x1 (event/action abstract) surprises/startles/is unexpected [and generally sudden] to x2        
#spaji1:DSAP;
#spaji2:DSAP;
#
# x1 (agent) polishes object/surface x2 with polish x3, applied using tool x4                     
#spali1:DSAP;
#spali2:DSAP;
#spali3:DSAP;
#spali4:DSAP;
#
# x1 reflects Spanish-speaking culture/nationality/language in aspect x2                          
#spano1:DSAP;
#spano2:DSAP;
#
# x1 is a plant/herb/greenery of species/strain/cultivar x2                                       
#spati1:DSAP;
#spati2:DSAP;
#
# x1 is married to x2; x1 is a spouse of x2 under law/custom/tradition/system/convention x3       
speni1:P;married
speni2:P;married to
speni3:D;custom* for marriage
#
# x1 [object/substance] is a piece/portion/lump/chunk/particle of x2 [substance]                  
#spisa1:DSAP;
#spisa2:DSAP;
#
# x1 is a hospital treating patient(s) x2 for condition/injuries/disease/illness x3               
#spita1:DSAP;
#spita2:DSAP;
#spita3:DSAP;
#
# x1 is broken/inoperable/broken down/non-utile/not usable for function x2                        
#spofu1:DSAP;
#spofu2:DSAP;
#
# x1 bursts/explodes/violently breaks up/decomposes/combusts into pieces/energy/fragments x2      
#spoja1:DSAP;
#spoja2:DSAP;
#
# x1 answers/replies to/responds to person/object/event/situation/stimulus x2 with response x3    
#spuda1:DSAP;
#spuda2:DSAP;
#spuda3:DSAP;
#
# x1 spits/expectorates x2 [predominantly liquid] from x3 to/onto x4                              
#sputu1:DSAP;
#sputu2:DSAP;
#sputu3:DSAP;
#sputu4:DSAP;
#
# x1 is vertical/upright/erect/plumb/oriented straight up and down in reference frame/gravity x2  
#sraji1:DSAP;
#sraji2:DSAP;
#
# x1 [abrasive/cutting/scratching object/implement] scratches/[carves]/erodes/cuts [into] x2      
#sraku1:DSAP;
#sraku2:DSAP;
#
# x1 reflects Australian culture/nationality/geography/dialect in aspect x2                       
#sralo1:DSAP;
#sralo2:DSAP;
#
# x1 pertains to/is germane/relevant to/concerns/is related/associated with/is about x2           
#srana1:DSAP;
#srana2:DSAP;
#
# x1 is a blade/expanse of grass of species x2                                                    
srasu1:S;grass
srasu2:S;grass species
#
# x1 errs in doing/being/making mistake x2 (event), an error under conditions x3 by standard x4   
#srera1:DSAP;
#srera2:DSAP;
#srera3:DSAP;
#srera4:DSAP;
#
# x1 reflects Sanskrit language/Sanskritic/Vedic culture/nationality in aspect x2                 
#srito1:DSAP;
#srito2:DSAP;
#
# x1 assumes/supposes that x2 (du'u) is true about subject x3; [epistemology]                     
#sruma1:DSAP;
#sruma2:DSAP;
#
# x1 encircles/encloses/is surrounding x2 in direction(s)/dimension(s)/plane x3                   
#sruri1:DSAP;
#sruri2:DSAP;
#sruri3:DSAP;
#
# x1 is honest/open/truthfully revealing to/candid/frank with x2 about matter/fact x3             
#stace1:DSAP;
#stace2:DSAP;
#stace3:DSAP;
#
# x1 is the edible x2 portion of plant x3; x1 is a vegetable                                      
#stagi1:DSAP;
#stagi2:DSAP;
#
# x1 is a quantity of/contains/is made of ceramic made by x2, of composition x3, in form/shape x4 
#staku1:DSAP;
#staku2:DSAP;
#staku3:DSAP;
#staku4:DSAP;
#
# x1 remains/stays at/abides/lasts with x2                                                        
stali1:A;stay
stali2:D;place* stayed at
stali2t:at place(s)
#
# x1 is a/the stalk/stem/trunk [body-part] of plant/species x2; [metaphor: main support]          
#stani1:DSAP;
#stani2:DSAP;
#
# x1 steps/treads on/in surface x2 using limbs x3                                                 
#stapa1:DSAP;
#stapa2:DSAP;
#stapa3:DSAP;
#
# x1 is a quantity of soup/stew/olla/olio [food] of ingredients including x2                      
#stasu1:DSAP;
#stasu2:DSAP;
#
# x1 has a talent/aptitude/innate skill for doing/being x2                                        
#stati1:DSAP;
#stati2:DSAP;
#
# x1 feels frustration about x2 (abstraction)                                                     
#steba1:DSAP;
#steba2:DSAP;
#
# x1 (ka) is specific/particular/specialized/[special]/a defining property of x2 among x3 (set)   
#steci1:DSAP;
#steci2:DSAP;
#steci3:DSAP;
#
# x1 is a/the head [body-part] of x2; [metaphor: uppermost portion]                               
#stedu1:DSAP;
#stedu2:DSAP;
#stedu3:DSAP;
#
# x1 is a lock/seal of/on/for sealing x2 with/by locking mechanism x3                             
#stela1:DSAP;
#stela2:DSAP;
#stela3:DSAP;
#
# x1 is x2 steradian(s) [metric unit] in solid angle (default is 1) by standard x3                
#stero1:DSAP;
#stero2:DSAP;
#stero3:DSAP;
#
# x1 is to the west/western side of x2 according to frame of reference x3                         
stici1:P;to the west
stici2:P;to the east
stici3:D;westness reference frame
stici3t:reference frame
#
# x1 (agent) suggests/proposes idea/action x2 to audience x3; x1 (event) inspires x2 in/among x3  
stidi1:A;suggest
stidi2:D;suggested idea
stidi2t:idea
stidi3:D;audience* of suggestion
stidi3t:to audience
#
# x1 (event) adjusts/regulates/changes x2 (ka/ni) in amount/degree x3                             
#stika1:DSAP;
#stika2:DSAP;
#stika3:DSAP;
#
# x1 is a chair/stool/seat/bench, a piece or portion of a piece of furniture intended for sitting 
#stizu1:DSAP;
#stizu2:DSAP;
#stizu3:DSAP;
#
# x1 is constant/invariant/unchanging in property x2 (ka) in response to stimulus/conditions x3   
stodi1:P;constant
stodi2:D;constant property
stodi2t:in property
stodi3:S;conditions for constancy
stodi3t:under conditions
#
# x1 is to the east/eastern side of x2 according to frame of reference x3                         
stuna1:P;to the east
stuna2:P;to the west
stuna3:D;eastness reference frame
stuna3t:reference frame
#
# x1 is a structure/arrangement/organization of x2 [set/system/complexity]                        
#stura1:DSAP;
#stura2:DSAP;
#
# x1 is an inherent/inalienable site/place/position/situation/spot/location of x2 (object/event)  
#stuzi1:DSAP;
#stuzi2:DSAP;
#
# x1 (si'o) is abstracted/generalized/idealized from x2 [something concrete] by rules x3          
#sucta1:DSAP;
#sucta2:DSAP;
#sucta3:DSAP;
#
# x1 is dry of liquid x2; (adjective:) x1 is arid                                                 
#sudga1:DSAP;
#
# x1 is a/the hoof [body-part] of x2                                                              
#sufti1:DSAP;
#sufti2:DSAP;
#
# x1 (event/state) is sudden/sharply changes at stage/point x2 in process/property/function x3    
#suksa1:DSAP;
#suksa2:DSAP;
#suksa3:DSAP;
#
# x1 is a mathematical sum/result/total of x2 plus/increased by x3                                
#sumji1:DSAP;
#sumji2:DSAP;
#sumji3:DSAP;
#
# x1 (experiencer) smells/scents (transitive verb) x2; x2 smells/has odor/scent to observer x1    
#sumne1:DSAP;
#sumne2:DSAP;
#
# x1 is a/the argument of predicate/function x2 filling place x3 (kind/number)                    
#sumti1:DSAP;
#sumti2:DSAP;
#sumti3:DSAP;
#
# x1 is a quantity of garlic [bulb] of species/strain x2                                          
#sunga1:DSAP;
#sunga2:DSAP;
#
# x1 is a quantity of/made from/consists of wool [tight curly hair] from animal/species/source x2 
#sunla1:DSAP;
#sunla2:DSAP;
#
# x1 relaxes/rests/is at ease in/by doing/being x2 (activity)                                     
#surla1:DSAP;
#surla2:DSAP;
#
# x1 is fast/swift/quick/hastes/rapid at doing/being/bringing about x2 (event/state)              
sutra1:P;swift
sutra2:E;event/state* achieved swiftly
#
# x1 is a quantity of/contains/is made of carbon/graphite/[diamond]/charcoal; x1 is organic       
#tabno1:DSAP;
#
# x1 is a horn/trumpet/trombone/bugle [brass-wind/lip-reed musical instrument]                    
#tabra1:DSAP;
#
# x1 [process] is a method/technique/approach/means for doing x2 (event) under conditions x3      
#tadji1:DSAP;
#tadji2:DSAP;
#tadji3:DSAP;
#
# x1 studies/is a student of x2; x1 is a scholar; (adjective:) x1 is scholarly                    
tadni1:A;study
tadni1n:student
tadni1a:scholarly
tadni2:P;studied
#
# x1 is snug/tight on x2 in dimension/direction x3 at locus x4                                    
#tagji1:DSAP;
#tagji2:DSAP;
#tagji3:DSAP;
#tagji4:DSAP;
#
# x1 (person) challenges x2 at/in property x3                                                     
#talsa1:DSAP;
#talsa2:DSAP;
#talsa3:DSAP;
#
# x1 is a tomato [fruit/vegetable/plant] of species/strain x2                                     
#tamca1:DSAP;
#tamca2:DSAP;
#
# x1 is a/the thumb/big toe [body-part] on limb x2 of x3; [metaphor based on relative shape]      
#tamji1:DSAP;
#tamji2:DSAP;
#
# x1 is cousin to x2 by bond/tie x3; [non-immediate family member, default same generation]       
#tamne1:DSAP;
#tamne2:DSAP;
#
# x1 is a board/plank [3-dimensional long flat rectangle] of material x2                          
#tanbo1:DSAP;
#tanbo2:DSAP;
#
# x1 is a/the tongue [body-part] of x2; (metaphor: similar to nazbi, tamji, degji)                
#tance1:DSAP;
#tance2:DSAP;
#
# x1 is the trigonometric tangent of angle/arctangent x2                                          
#tanjo1:DSAP;
#tanjo2:DSAP;
#
# x1 is a quantity of tobacco [leaf] of species/strain x2                                         
#tanko1:DSAP;
#tanko2:DSAP;
#
# x1 is a binary metaphor formed with x2 modifying x3, giving meaning x4 in usage/instance x5     
#tanru1:DSAP;
#tanru2:DSAP;
#tanru3:DSAP;
#tanru4:DSAP;
#tanru5:DSAP;
#
# x1 is a pan/basin/tub/sink, a shallow container for contents x2, of material/properties x3      
#tansi1:DSAP;
#tansi2:DSAP;
#tansi3:DSAP;
#
# x1 is a box/carton/trunk/crate for contents x2, and made of material x3                         
tanxe1:D;box
tanxe2:D;box content
tanxe3:S;box material
#
# x1 is a tile/cake [shape/form] of material x2, shape x3, thickness x4                           
#tapla1:DSAP;
#tapla2:DSAP;
#tapla3:DSAP;
#tapla4:DSAP;
#
# x1 is an embryo/zygote/fetus/fertilized egg with mother x2, and father x3                       
#tarbi1:DSAP;
#tarbi2:DSAP;
#tarbi3:DSAP;
#
# x1 is a star/sun with stellar properties x2                                                     
tarci1:D;star
tarci2:D;stellar property
#
# x1 is a quantity of/contains/is made of tar/asphalt from source x2                              
#tarla1:DSAP;
#tarla2:DSAP;
#
# x1 [ideal] is the conceptual shape/form of object/abstraction/manifestation x2 (object/abstract)
tarmi1:D;shape*/form*
tarmi2:P;shaped
#
# x1 behaves/conducts oneself as/in-manner x2 (event/property) under conditions x3                
#tarti1:DSAP;
#tarti2:DSAP;
#tarti3:DSAP;
#
# x1 thirsts for x2; x1 needs/wants drink/fluid/lubrication x2                                    
#taske1:DSAP;
#taske2:DSAP;
#
# x1 is tired/fatigued by effort/situation x2 (event); x1 needs/wants rest                        
#tatpi1:DSAP;
#tatpi2:DSAP;
#
# x1 is a/the breast/mammary/teat [body-part] of x2; [metaphor: projection providing liquid]      
#tatru1:DSAP;
#tatru2:DSAP;
#
# x1 talks/speaks to x2 about subject x3 in language x4                                           
tavla1:A;talk
tavla2:P;talked to
tavla3:D;subject* of talk
tavla4:D;language* of talk
#
# x1 is dress/a garment/clothing for wearing by x2 (gender/species/body part) serving purpose x3  
taxfu1:D;garment
taxfu2:A;wear* garment
taxfu2t:worn on/by
taxfu3:D;garment purpose
taxfu3t:purpose
#
# x1 is a custom/habit/[ritual/rut] of x2 under conditions x3                                     
#tcaci1:DSAP;
#tcaci2:DSAP;
#tcaci3:DSAP;
#
# x1 is a town/city of metropolitan area x2, in political unit x3, serving hinterland/region x4   
#tcadu1:DSAP;
#tcadu2:DSAP;
#tcadu3:DSAP;
#tcadu4:DSAP;
#
# x1 is a station/node of/in/on transport/communication/distribution system/network x2            
#tcana1:DSAP;
#tcana2:DSAP;
#
# x1 is made of/contains/is a quantity of tea brewed from leaves x2                               
#tcati1:DSAP;
#tcati2:DSAP;
#
# x1 stretches/extends to range x2 [interval/extent] in dimension x3 from relaxed range x4        
#tcena1:DSAP;
#tcena2:DSAP;
#tcena3:DSAP;
#tcena4:DSAP;
#
# x1 (event/experience) misleads/deceives/dupes/fools/cheats/tricks x2 into x3 (event/state)      
#tcica1:DSAP;
#tcica2:DSAP;
#tcica3:DSAP;
#
# x1 [agent] reads x2 [text] from surface/document/reading material x3; x1 is a reader            
tcidu1:A;read
tcidu2:D;read text*
tcidu3:D;reading material
#
# x1 [hours, {minutes}, {seconds}] is the time/hour of state/event x2 on day x3 at location x4    
tcika1:S;time
tcika2:P;having time
tcika3:D;day* of time
tcika3t:day
tcika4:D;location* of time
tcika4t:location
#
# x1 is a detail/feature/particular of x2                                                         
#tcila1:DSAP;
#tcila2:DSAP;
#
# x1 is weather at place/region x2; (adjective:) x1 is meteorological                             
tcima1:S;weather
tcima2:D;location* of weather
#
# x1 [state/property] is a situation/condition/state/position/are conditions/circumstances of x2  
#tcini1:DSAP;
#tcini2:DSAP;
#
# x1 is a label/tag of x2 showing information x3                                                  
#tcita1:DSAP;
#tcita2:DSAP;
#tcita3:DSAP;
#
# x1 is the time-duration/interval/period/[elapsed time] from time/event x2 to time/event x3      
#temci1:DSAP;
#temci2:DSAP;
#temci3:DSAP;
#
# x1 is the exponential result of base x2 to power/exponent x3                                    
#tenfa1:DSAP;
#tenfa2:DSAP;
#tenfa3:DSAP;
#
# x1 (property-ka) is a texture of x2                                                             
#tengu1:DSAP;
#tengu2:DSAP;
#
# x1 is the Earth/the home planet of race x2; (adjective:) x1 is terrestrial/earthbound           
terdi1:S;earth
terdi2:D;race* with home planet
#
# x1 fears x2; x1 is afraid/scared/frightened by/fearful of x2 (event/tu'a object)                
#terpa1:DSAP;
#terpa2:DSAP;
#
# x1 is a trillion [1x10**12] of x2 in dimension/aspect x3 (default is units)                     
#terto1:DSAP;
#terto2:DSAP;
#terto3:DSAP;
#
# x1 performs x2 [performance] for/before audience x3                                             
tigni1:A;perform
tigni2:D;performance
tigni3:D;audience* for performance
tigni3t:audience
#
# x1 kicks [hits with x1's foot/feet x4] x2 in/at locus x3, using x1's foot/feet x4               
tikpa1:A;kick
tikpa2:P;kicked
tikpa3:D;locus of kick
tikpa3n:locus/i of kick
tikpa3t:kicked at/on
tikpa4:S;kicking foot/feet
#
# x1 is heavy/weighty in mass/weight by standard x2                                               
tilju1:P;heavy
tilju2:S;standard of heaviness
#
# x1 obeys/follows the command/rule x2 made by x3; (adjective:) x1 is obedient                    
#tinbe1:DSAP;
#tinbe2:DSAP;
#
# x1 is a quantity of/contains/is made of tin (Sn); [metaphor: cheap or base metal]               
#tinci1:DSAP;
#tinci2:DSAP;
#
# x1 is stiff/rigid/inflexible/resistant in direction x2 against force x3 under conditions x4     
#tinsa1:DSAP;
#tinsa2:DSAP;
#tinsa3:DSAP;
#tinsa4:DSAP;
#
# x1 hears x2 against background/noise x3; x2 is audible; (adjective:) x1 is aural                
tirna1:A;hear
tirna2:R;heard
tirna3:S;background noise
#
# x1 is a quantity of/contains/is made of iron (Fe); [metaphor: strong, durable, tarnishing]      
#tirse1:DSAP;
#tirse2:DSAP;
#
# x1 is a tiger/leopard/jaguar/[tigress] of species/breed x2 with coat markings x3                
#tirxu1:DSAP;
#tirxu2:DSAP;
#tirxu3:DSAP;
#
# x1 (object) fills/becomes stuffed [up]/inflates/blows up with material x2; x2 pours into x1     
#tisna1:DSAP;
#tisna2:DSAP;
#
# x1 is sweet/sugary/saccharine to observer x2                                                    
#titla1:DSAP;
#titla2:DSAP;
#
# x1 broadcasts/televises programming x2 via medium/channel x3 to television receiver x4          
tivni1:A;broadcast
tivni2:D;TV programme
tivni3:D;TV channel
tivni4:D;TV receiver
#
# x1 is a daughter of mother/father/parents x2; [not necessarily biological]                      
tixnu1:D;daughter
tixnu2:D;parent* of daughter
tixnu2t:parent
#
# x1 is an oven [enclosure that heats its contents] for baking/heating/drying x2                  
#toknu1:DSAP;
#toknu2:DSAP;
#
# x1 is a butterfly/moth of species/breed x2                                                      
#toldi1:DSAP;
#toldi2:DSAP;
#
# x1 is a tone/note of frequency/pitch x2 from source x3                                          
#tonga1:DSAP;
#tonga2:DSAP;
#tonga3:DSAP;
#
# x1 is short in dimension/direction x2 (default longest dimension) by measurement standard x3    
#tordu1:DSAP;
#tordu2:DSAP;
#tordu3:DSAP;
#
# x1 twists under load/force/torsion x2                                                           
#torni1:DSAP;
#torni2:DSAP;
#
# x1 is superlative in property x2 (ka), the x3 extreme (ka; default ka zmadu) among set/range x4 
traji1:P;superlative
traji2:D;superlative property
traji2t:in property
traji3:D;superlative extreme
traji3t:at extreme
traji4:D;set* having superlative
traji4t:amongst set
#
# x1 is a quantity of/contains/is made of nitrogen/ammonia/nitrates                               
#trano1:DSAP;
#trano2:DSAP;
#trano3:DSAP;
#trano4:DSAP;
#
# x1 is taut/tense/strained tight in direction x2                                                 
#trati1:DSAP;
#trati2:DSAP;
#
# x1 is a train [vehicle] of cars/units x2 (mass) for rails/system/railroad x3, propelled by x4   
#trene1:DSAP;
#trene2:DSAP;
#trene3:DSAP;
#trene4:DSAP;
#
# x1 is a tree of species/cultivar x2                                                             
tricu1:D;tree
tricu2:D;tree species
tricu2t:of species
#
# x1 attracts/appeals to/lures x2 (person/event) with property/quality x3 (ka)                    
#trina1:DSAP;
#trina2:DSAP;
#trina3:DSAP;
#
# x1 is posterior/behind/back/in the rear of x2 which faces/in-frame-of-reference x3              
trixe1:P;at the back of
trixe2:P;having back
trixe3:S;reference frame defining back
trixe3t:frame of reference
#
# x1 tries/attempts/makes an effort to do/attain x2 (event/state/property) by actions/method x3   
troci1:A;try
troci2:P;attempted
troci3:D;method* tried
troci3t:method
#
# x1 is strong/powerful/[tough] in property/quality x2 (ka) by standard x3                        
tsali1:P;strong
tsali2:S;strong property
tsali3:S;standard of strength
#
# x1 is an expanse of sky/the heavens at place x2; [celestial]                                    
tsani1:D;sky
tsani2:D;place* with sky
#
# x1 is a seasoning/condiment/spice causing flavor/effect x2 (event/property)                     
#tsapi1:DSAP;
#tsapi2:DSAP;
#
# x1(s) is/are (a) seed(s)/spore(s) [body-part] of organism x2 for producing offspring x3         
#tsiju1:DSAP;
#tsiju2:DSAP;
#tsiju3:DSAP;
#
# x1 is a stage/platform/dais/[scaffold] at/in x2 supporting x3, made of material x4              
#tsina1:DSAP;
#tsina2:DSAP;
#tsina3:DSAP;
#tsina4:DSAP;
#
# x1 is a length of tubing/pipe/hollow cylinder [shape/form] of material x2, hollow of material x3
#tubnu1:DSAP;
#tubnu2:DSAP;
#tubnu3:DSAP;
#tubnu4:DSAP;
#
# x1 [person] agrees with person(s)/position/side x2 that x3 (du'u) is true about matter x4       
tugni1:A;agree
tugni2:R;agreed with
tugni3:D;agreed view
tugni4:D;topic* of agreement
#
# x1 is a tulip (defined by flower shape) of species/strain x2                                    
#tujli1:DSAP;
#tujli2:DSAP;
#
# x1 is a parcel/expanse of land at location x2; x1 is terrain                                    
#tumla1:DSAP;
#
# x1 is a sibling of x2 by bond/tie/standard/parent(s) x3                                         
#tunba1:DSAP;
#tunba2:DSAP;
#tunba3:DSAP;
#
# x1 is made of/contains/is a quantity of copper (Cu); [metaphor: reddish, electrical conductor]  
#tunka1:DSAP;
#tunka2:DSAP;
#tunka3:DSAP;
#
# x1 gulps/swallows                                                                               
#tunlo1:DSAP;
#tunlo2:DSAP;
#tunlo3:DSAP;
#
# x1 (object, usually pointed) pokes/jabs/stabs/prods x2 (experiencer)                            
#tunta1:DSAP;
#tunta2:DSAP;
#
# x1 is a/the leg [body-part] of x2; [metaphor: supporting branch]                                
#tuple1:DSAP;
#tuple2:DSAP;
#
# x1 governs/rules/is ruler/governor/sovereign/reigns over people/territory/domain/subjects x2    
turni1:A;govern
turni2:P;governed
#
# x1 is a tool/utensil/resource/instrument/implement used for doing x2; [form determines function]
#tutci1:DSAP;
#tutci2:DSAP;
#
# x1 is territory/domain/space of/belonging to/controlled by x2                                   
#tutra1:DSAP;
#tutra2:DSAP;
#
# x1 is a quantity of air/normally-gaseous atmosphere of planet x2, of composition including x3   
vacri1:S;air
vacri2:D;planet* with air
vacri3:S;air composition
#
# x1 (object/event) is important/significant to x2 (person/event) in aspect/for reason x3 (nu/ka) 
#vajni1:DSAP;
#vajni2:DSAP;
#vajni3:DSAP;
#
# x1 is a word meaning/causing x2 in language x3; (adjective: x1 is lexical/verbal)               
#valsi1:DSAP;
#valsi2:DSAP;
#
# x1 (ni) is the equivalent value/worth of x2 [item(s) of value] to x3 for use/appreciation x4    
#vamji1:DSAP;
#vamji2:DSAP;
#vamji3:DSAP;
#vamji4:DSAP;
#
# x1 vomits/regurgitates x2; x1 throws x2 up; [violent] digestive expulsion                       
vamtu1:A;vomit
vamtu2:S;vomit
#
# x1 (ind./mass) is part of an environment/surroundings/context/ambience of x2                    
vanbi1:D;environment
vanbi2:R;having environment
#
# x1 is an evening [from end-of-work until sleep typical for locale] of day x2 at location x3     
vanci1:D;evening
vanci2:D;day* of evening
vanci2t:of day
vanci3:D;location* of evening
vanci3t:at location
#
# x1 is made of/contains/is a quantity of wine from fruit/grapes x2                               
vanju1:S;wine
vanju2:D;wine fruit
vanju2t:from fruit
#
